Treatment,time,B1,B2,B3
Early,0,0.19539234562313734,0.10477882730649994,0.2973846164284792
Early,4,0.2779771221561284,0.001055937,0.15111804708517929
Early,8,4.782679084451829,4.928558620981794,4.334643272
Early,12,7.695253302802565,7.486506183447338,7.670888582077174
Early,16,8.638920256993988,8.764901952880617,8.564767024924421
Early,20,10.068564764063265,9.200881089445513,9.537327159244036
Early,24,9.771893527990473,9.680509836078317,10.036671602844494
Early,28,9.766074610781745,9.724111693188496,9.633603887143744
Early,32,9.771636547315907,10.058348006501559,9.835037442469508
Early,36,9.741328028636595,9.841645089251156,10.324624435991593
Early,40,10.254511279938015,10.221952974860242,10.491660840441746
Early,44,9.786108617,9.761913566948376,10.119088405111514
Early,48,10.015206566912964,9.845875563835472,10.189985242581589
Late,0,0.059418625,0.43622598860070966,0.051827353
Late,4,0.032439186,0.29560196972284575,0.47402815513002483
Late,8,0.24482615492977228,0.33293636113115616,0.18588304790121768
Late,12,1.8331570082144877,1.5068034514622044,1.9884429742073217
Late,16,3.5858548374647796,3.7843160670685094,3.184916367764073
Late,20,4.454215165716751,3.9987812269179885,4.507405268303338
Late,24,5.213944309839263,4.7283469122991875,4.606607241602831
Late,28,4.607051917370045,4.827165416,4.678734126
Late,32,5.035079704004494,4.6585003935782145,4.863747375143898
Late,36,5.088830444826097,4.725803807279649,4.991999062797336
Late,40,4.657881902164966,4.586923631573959,4.980773876820317
Late,44,4.676904224019542,4.985150713710271,5.478033425560597
Late,48,5.070358496196444,5.466873701873418,5.129366196
