Treatment,time,B1,B2,B3
Early,0,0.38342206790138894,0.091549388,0.5900498343353935
Early,4,0.2703454588887822,0.17383910077895837,0.6020884589334081
Early,8,2.296824911197708,2.487658225541256,2.293891968985253
Early,12,5.277374209126811,5.601574235385922,5.1235773990747475
Early,16,6.294924781277804,6.741032603463997,6.207362167461668
Early,20,7.627622224028859,7.827731764768038,7.637070537276994
Early,24,8.095154334660107,8.483255473019799,8.632232828229437
Early,28,8.824407618146214,9.305510261116316,8.776431868004604
Early,32,9.577892749513929,9.121325348548881,9.481106334
Early,36,9.803956887789985,8.999973449725445,9.596915791033005
Early,40,9.972862529,9.945594885,9.674311540321838
Early,44,9.367666080270844,10.008398237577786,9.880527147349609
Early,48,9.655247074718085,10.145675796028533,9.929383743361324
Late,0,0.1791263071636229,0.10003528830134165,0.12159208964547695
Late,4,0.19491688193363405,0.12378603847264884,0.2462734469696091
Late,8,0.092482469,0.29851688388349296,0.19202822519921844
Late,12,0.7697289334950888,0.6124998769902201,1.318366837872463
Late,16,2.418552127081854,2.4872151677545156,2.5537485789706498
Late,20,2.5945616441206996,2.6845832675225005,3.1989915955519637
Late,24,3.5197094831506863,4.049684883564003,3.848379545818031
Late,28,4.095113399003736,4.132972884332342,3.9449664938773834
Late,32,4.557037667813649,4.4178217770342565,4.252760815246755
Late,36,4.498622402962995,4.424129799453062,4.968822520193124
Late,40,4.796580380353387,4.575674896370977,4.614222306643472
Late,44,4.9971092743924075,4.492494963763387,5.129134868989082
Late,48,5.067487553321051,5.042477656094307,4.6794104140856545
